frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
54,4,1785491,427866,1195978,60817,5769,413482,2932,48320,940267,116155,25261,3099,61843,9,779561,751756,18449
55,2,1940670,211857,1662373,155279,6035,197970,2686,410341,756333,308996,25426,2794,157378,11,952010,915673,22550
56,3,2579681,462830,2049440,60484,7492,355439,3443,143634,1510146,212183,25106,94761,62577,17,1464878,1412234,34850
57,3,1759252,395903,1197670,161833,6015,380797,2441,235548,560887,115693,118231,3419,163892,10,871515,836450,20499
58,4,2302493,727667,1508280,262970,5732,380386,3052,52484,746523,143607,205578,92967,265023,16,1384490,1333676,32799
59,3,2171948,326049,1683959,154600,6033,309128,5163,146525,813866,155748,115716,293301,156719,15,1287422,1240999,30749
60,4,2796454,414096,2104773,151880,13936,391351,2882,165161,1213682,231540,222500,115858,154997,21,1798955,1733913,43051
61,4,2326639,135332,2123116,67195,6002,121141,3011,275340,1065757,227418,242129,243172,69300,15,1293324,1244931,30752
62,4,1981928,115883,1792514,68401,5938,100835,2990,239649,985132,229741,115945,150486,71561,13,1110869,1070479,26649
63,3,1855883,388436,1390400,60935,97561,282280,3095,354961,597248,185441,28996,159264,62994,12,1038800,1001615,24600
64,3,6447007,4402240,1973566,63821,7259,4294036,3322,353826,862762,323056,24999,343624,65299,26,2241951,2157020,53305
65,8,2810394,870098,1871985,156504,5960,764837,93949,313690,707933,131012,115684,444011,158572,20,1726254,1662368,41001
66,3,1869454,227973,1571173,64504,5908,122256,94271,242965,612463,233425,204958,209684,67678,11,943368,908256,22550
67,4,2001551,135226,1614239,60976,5793,120877,3470,52472,828817,38888,24280,605724,64058,13,1132282,1092002,26650
68,3,2536496,577359,1866611,64759,6005,563116,3034,146708,1185939,224336,23849,217560,67907,17,1470227,1413448,34848
69,3,2143391,570868,1501338,64169,97222,375482,92127,354048,418254,247177,114972,299595,67292,14,1200717,1155351,28704
70,4,2499630,760263,1486029,65486,96323,653780,4124,52441,804872,223806,114471,221822,67567,18,1550744,1492901,36899
71,3,2815890,761639,1553038,60725,5905,565288,92655,237095,594425,222861,24899,409889,62804,21,1814373,1747156,43049
72,3,2220762,567292,1492387,65220,5898,551364,3959,245354,497393,224897,23825,432544,68374,13,1124204,1083989,26650
73,3,2558955,495329,1998512,158895,5928,479772,3659,240877,772506,311796,205927,304291,160993,19,1645463,1581593,38948
74,4,3860174,786825,3005721,61316,122421,654754,4149,171659,1187812,1153391,28707,399910,63214,24,2071859,1996482,49198
75,4,2099069,333266,1695995,64593,26592,209514,91879,236588,1101024,57188,115445,118535,67215,13,1113488,1073251,26649
76,3,2489104,593592,1828514,65650,7041,307988,182740,148229,881095,402002,24243,305177,67768,17,1481181,1427181,34857
77,3,3021741,736200,1942323,64584,5764,625680,98596,146545,878950,430708,119385,299024,66682,22,1892156,1823074,45101
78,3,2901286,936193,1893208,62057,184645,558728,91913,54057,1307978,137691,24189,305156,64137,21,1805289,1738355,43048
79,4,3129209,495070,2390624,88804,6557,479564,3221,169613,976049,135019,205675,813364,90904,23,1983256,1912198,47151
80,4,2556880,694932,1792597,152203,5501,680466,3712,150943,624636,230356,24513,606826,154287,18,1553079,1497301,36901
81,4,5846447,604953,5056195,149658,5732,590950,3261,329934,1340756,2907222,26340,299149,151726,20,1730269,1665710,41000
82,7,2750147,396983,2197104,39985,5533,382132,3325,150811,1080988,407478,208189,306510,42062,21,1804070,1737098,43049
83,3,3046263,1206614,1418600,37203,103270,824268,94665,249521,585919,219892,116037,206908,39274,23,1982803,1907384,47152
84,3,2178469,473503,1547312,34678,5565,360889,4023,146248,756507,463017,25306,117353,36728,14,1215578,1170225,29733
85,4,2009313,595392,1348231,37012,5807,581175,3267,282059,576224,35216,117534,297052,39110,13,1121389,1080161,26649
86,3,5156287,449022,4641539,40405,5660,343402,94276,151153,826138,2786059,26853,808866,42470,19,1640533,1579555,38951
87,8,4883553,528718,4289982,32627,96450,423213,3806,238021,1251160,2187837,174831,402399,35734,22,1891624,1823467,45101
88,6,2300768,397680,1729207,33800,5501,382219,3704,241602,861435,165863,205874,217514,35879,14,1208591,1162067,28699
89,4,2315992,209558,2040367,226101,5740,195415,3354,239811,897265,248171,117143,308372,228201,15,1314166,1265430,30747
90,4,2545517,305515,2083080,30715,5393,290379,3589,353250,792211,339447,115829,448486,32822,17,1475059,1420231,34849
91,3,3586525,659608,2772275,36365,5743,553813,3377,356854,1508533,250945,24319,591057,39524,27,2327468,2241841,55348
92,4,2744063,589290,2064470,31199,185100,394712,3916,53011,871380,820675,204369,80577,34458,14,1204720,1160075,28698
93,4,3099239,957072,1978101,127159,95744,672896,93603,331233,863488,271016,115065,266955,129259,22,1891464,1819957,45098
94,4,2969533,737749,1964647,120657,96348,631502,3779,146308,873512,621879,25732,174019,122164,19,1632281,1571377,38956
95,4,2409554,422125,1772046,31478,5715,406793,3611,412499,610983,63494,26297,623110,33578,14,1194532,1151328,28700
96,4,2846539,787753,1991728,25661,95478,414842,182013,148280,1092129,245911,115810,360819,28779,22,1890658,1820572,45098
97,5,2656891,1047670,1262316,29958,5809,934832,101651,52768,824070,65999,206706,80430,32050,18,1550134,1489974,36900
98,3,2187383,633373,1393792,26178,5523,527767,93863,236564,632783,146485,24255,324320,28266,15,1299825,1250055,30749
99,3,2844867,326067,2360806,32708,5162,311347,4187,506556,1424158,143378,24598,226240,35876,22,1899771,1828677,46124
100,4,2736004,521790,1878657,29129,5656,506178,3694,148172,1258057,49936,116991,273243,31209,22,1886474,1818330,45097
101,5,2207664,705106,1345985,29836,5758,690478,3665,147552,709511,253041,23887,178940,31943,14,1196770,1154407,28698
102,3,2168115,738021,1363608,29329,6882,445087,189059,146607,520226,144964,115226,405148,31437,13,1125428,1081986,26647
103,4,3067104,634964,2186776,29540,96441,439361,93221,239215,1160481,414906,258166,81379,31600,22,1875129,1804850,45099
104,3,2629414,487231,2077066,28925,5440,471830,3722,147896,1373172,145581,24253,354134,30984,20,1723010,1657939,40998
105,3,2437523,406223,1876740,28061,5648,391122,3403,237136,1082824,143523,24801,357926,30167,17,1460128,1407496,34849
106,4,2227044,570860,1252048,28913,5591,459299,3646,55541,510384,47521,23429,582047,31013,15,1293745,1246270,30751
107,3,1671699,292330,1309738,34900,5648,278271,3354,330491,511541,141076,24609,265042,36979,9,778079,749202,18451
108,3,1944790,591012,1197529,28854,6957,483806,4254,151634,672351,142159,24031,175079,30913,13,1120911,1079557,26651
109,3,1601411,647505,887830,31380,5615,542457,94182,66374,311308,47594,115731,313354,33469,9,766366,737477,18449
110,3,1967918,468972,1433143,28952,5648,454611,3613,51693,1093770,56420,24550,174588,31052,13,1123864,1081453,26652
