frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
61,4,1590896,228097,1119338,0,5821,217156,0,148524,326982,359736,26118,256851,0,10,882793,845852,22478
62,4,728071,133109,527239,0,5774,122254,0,65171,324219,45527,24373,66732,0,1,87600,83779,2257
63,3,813819,114985,627541,0,5827,103890,0,149036,224959,43449,24469,184481,0,2,174880,167390,4515
64,3,4436659,3488148,882170,0,5794,3477412,0,54198,690691,45744,24057,66327,0,6,525407,502941,13521
65,8,1156921,141915,929097,0,5833,130725,0,52902,321232,226299,165110,162401,0,3,262861,251890,6749
66,3,703897,128698,505993,0,5770,118084,0,53974,251194,40842,24557,134299,0,0,0,0,0
67,4,704358,128990,504286,0,5816,118023,0,60718,232893,38169,24712,146623,0,0,0,0,0
68,3,816499,119291,481703,0,5841,108150,0,54007,239195,39530,24502,123317,0,0,0,0,0
69,3,659707,121722,467794,0,5711,111011,0,52663,221860,45767,25378,120952,0,0,0,0,0
70,4,676490,109456,470259,0,5772,98474,0,54204,227782,39625,24383,123113,0,0,0,0,0
71,3,644875,116414,457539,0,5784,105624,0,52750,221072,37500,24540,120524,0,0,0,0,0
72,3,654591,116493,468487,0,5656,105717,0,54928,215694,39264,24398,133051,0,0,0,0,0
73,3,681608,110816,503480,0,5827,99745,0,53019,239830,37387,24681,147493,0,0,0,0,0
74,4,1301262,108118,1118814,0,5906,96749,0,54766,228812,676340,34007,123649,0,0,0,0,0
75,4,686597,126264,489606,0,5715,115367,0,53215,233209,48438,24533,128958,0,0,0,0,0
76,3,703832,123648,483894,0,5490,112992,0,54438,236224,45724,24711,121564,0,0,0,0,0
77,3,690953,150509,469808,0,5449,140079,0,52949,228653,43561,24401,119091,0,0,0,0,0
78,3,736633,166677,500217,0,5438,156151,0,54868,244019,44573,24532,130993,0,0,0,0,0
79,4,700653,120119,484938,0,5514,109665,0,52828,243006,43852,24625,119497,0,0,0,0,0
80,4,664899,118805,470850,0,5538,107960,0,54622,223688,44521,24518,122268,0,0,0,0,0
81,4,3587562,147576,3370019,0,5494,136847,0,53044,842503,2325961,26434,120884,0,0,0,0,0
82,7,763761,117107,578926,0,5481,106730,0,54557,337806,36985,24263,124121,0,0,0,0,0
83,3,635292,105869,457116,0,5428,95364,0,53043,223854,34639,24603,119784,0,0,0,0,0
84,3,657471,133984,457232,0,5459,123203,0,54756,208145,36198,32888,124032,0,0,0,0,0
85,4,684174,130554,456663,0,5493,120019,0,52830,223633,34518,24475,120013,0,0,0,0,0
86,3,3019004,136571,2813790,0,11675,119796,0,54680,359729,2251137,24730,122271,0,0,0,0,0
